-,1E+12,user,dim1,dim2,dim3
2058413316_GBSSS_contig00066,22905,GBS_Metagenome,-460.4012,57.899058,-223.33444
2058413451_GBSSS_contig00067,22469,GBS_Metagenome,-93.40688,-223.54381,139.02476
2058413586_GBSSS_contig00068,22267,GBS_Metagenome,130.3442,221.24767,42.757988
2058413721_GBSSS_contig00069,22090,GBS_Metagenome,-130.09878,-211.07128,153.66176
2058413856_GBSSS_contig00070,22026,GBS_Metagenome,-61.637534,-210.23989,160.83396
2058414261_GBSSS_contig00072,21797,GBS_Metagenome,-211.35408,5.8573473,-76.59596
2058414396_GBSSS_contig00073,21489,GBS_Metagenome,173.97408,248.84594,18.92702
2058361714_GBSSS_contig00018,21424,GBS_Metagenome,-223.15979,-0.7512806,-73.71378
2058414531_GBSSS_contig00074,21168,GBS_Metagenome,-99.31404,-232.4903,143.05109
2058414666_GBSSS_contig00075,20924,GBS_Metagenome,-233.08453,3.003231,-93.84914
2058414801_GBSSS_contig00076,20848,GBS_Metagenome,-25.995998,202.45092,79.37132
2058414936_GBSSS_contig00077,20687,GBS_Metagenome,-78.21275,-215.25917,141.88811
2058415071_GBSSS_contig00078,20676,GBS_Metagenome,134.95335,-103.54722,69.549942
2058415341_GBSSS_contig00080,20198,GBS_Metagenome,-23.061262,177.43187,68.664757
2058415611_GBSSS_contig00081,20031,GBS_Metagenome,-76.55795,-202.48074,136.72218
2058415746_GBSSS_contig00082,19855,GBS_Metagenome,-101.44918,-232.54364,136.87128
2058415881_GBSSS_contig00083,19800,GBS_Metagenome,-309.14149,-238.14728,167.39051
2058416016_GBSSS_contig00084,19739,GBS_Metagenome,-342.00782,-254.99698,156.1987
2058416286_GBSSS_contig00086,19621,GBS_Metagenome,117.87188,187.76569,34.30455
2058416421_GBSSS_contig00087,19517,GBS_Metagenome,-575.11993,-57.385629,-271.53602
2058416556_GBSSS_contig00088,19333,GBS_Metagenome,467.90737,-185.33137,-62.293441
2058416691_GBSSS_contig00089,19318,GBS_Metagenome,-64.341655,-201.69639,149.5571
2058416826_GBSSS_contig00090,19292,GBS_Metagenome,151.6235,239.12994,32.380852
2058417096_GBSSS_contig00091,19270,GBS_Metagenome,-216.55893,-8.083915,-72.54982
2058417231_GBSSS_contig00092,19221,GBS_Metagenome,-183.46944,-6.7134942,-46.98785
2058417366_GBSSS_contig00093,19056,GBS_Metagenome,-13.871802,206.43203,83.62529
2058417501_GBSSS_contig00094,19011,GBS_Metagenome,160.82745,245.43008,32.186546
2058417771_GBSSS_contig00096,18867,GBS_Metagenome,-539.38129,-26.006701,-251.84397
2058417906_GBSSS_contig00097,18794,GBS_Metagenome,-209.25954,16.048179,-65.494737
2058418041_GBSSS_contig00098,18773,GBS_Metagenome,3.6665909,228.30332,92.04006
2058418176_GBSSS_contig00099,18632,GBS_Metagenome,-569.33107,-48.809971,-268.50831
2058418311_GBSSS_contig00100,18621,GBS_Metagenome,23.831731,223.76949,94.19767
2058351454_GBSSS_contig00101,18590,GBS_Metagenome,-627.58388,-59.679823,-331.43565
2058351589_GBSSS_contig00102,18582,GBS_Metagenome,-600.45139,-49.607425,-293.72644
2058351724_GBSSS_contig00103,18544,GBS_Metagenome,-210.29715,-1.8536546,-59.516058
2058351859_GBSSS_contig00104,18525,GBS_Metagenome,145.19225,239.94978,36.40084
2058352129_GBSSS_contig00106,18368,GBS_Metagenome,267.97701,-131.628,34.898857
2058352264_GBSSS_contig00107,18360,GBS_Metagenome,174.49796,253.57276,49.620627
2058352399_GBSSS_contig00108,18359,GBS_Metagenome,-111.50916,-202.23581,133.89068
2058352534_GBSSS_contig00109,18283,GBS_Metagenome,16.698171,-89.54638,81.02367
2058352669_GBSSS_contig00110,18188,GBS_Metagenome,-208.12897,13.405077,-84.42455
2058352939_GBSSS_contig00111,18183,GBS_Metagenome,-76.36055,-228.88481,154.28112
2058353209_GBSSS_contig00113,18110,GBS_Metagenome,-585.3757,-53.491368,-263.34084
2058353074_GBSSS_contig00112,18073,GBS_Metagenome,177.30538,276.31478,45.49608
2058394654_GBSSS_contig00040,17856,GBS_Metagenome,-79.22957,-210.50638,148.84611
2058353344_GBSSS_contig00114,17766,GBS_Metagenome,170.51671,241.71777,31.979906
2058353479_GBSSS_contig00115,17682,GBS_Metagenome,-233.51811,6.4196587,-83.61479
2058353749_GBSSS_contig00117,17547,GBS_Metagenome,302.04398,-138.943,41.681703
2058353614_GBSSS_contig00116,17510,GBS_Metagenome,-552.72063,-47.071101,-235.11852
2058353884_GBSSS_contig00118,17489,GBS_Metagenome,-558.97506,-41.1642,-274.92787
2058354154_GBSSS_contig00120,17453,GBS_Metagenome,96.73692,-94.10121,72.67904
2058354424_GBSSS_contig00121,17430,GBS_Metagenome,166.68463,259.60473,32.813473
2058354694_GBSSS_contig00123,17335,GBS_Metagenome,152.81028,246.8228,33.814501
2058354559_GBSSS_contig00122,17327,GBS_Metagenome,-184.95393,5.988647,-67.689328
2058354829_GBSSS_contig00124,17187,GBS_Metagenome,-69.853868,-210.46067,139.5989
2058354964_GBSSS_contig00125,17051,GBS_Metagenome,-63.380611,-176.24334,113.31593
2058414126_GBSSS_contig00071,16938,GBS_Metagenome,-330.66159,-258.91208,158.49099
2058355234_GBSSS_contig00127,16897,GBS_Metagenome,-569.22257,-40.594988,-276.64742
2058355369_GBSSS_contig00128,16774,GBS_Metagenome,-567.44863,-55.512205,-267.41036
2058355504_GBSSS_contig00129,16739,GBS_Metagenome,-43.902257,194.34933,72.31532
2058355639_GBSSS_contig00130,16574,GBS_Metagenome,391.29888,-49.757085,-107.16566
2058355909_GBSSS_contig00131,16436,GBS_Metagenome,-342.47395,-251.8614,163.34668
2058356044_GBSSS_contig00132,16393,GBS_Metagenome,-370.28621,-245.959,91.57365
2058356179_GBSSS_contig00133,16388,GBS_Metagenome,159.82379,229.15767,37.43467
2058356314_GBSSS_contig00134,16367,GBS_Metagenome,167.42992,266.08043,32.535797
2058356584_GBSSS_contig00136,16250,GBS_Metagenome,149.04162,-76.3693,83.26605
2058356719_GBSSS_contig00137,16240,GBS_Metagenome,159.73832,253.41603,40.767762
2058356854_GBSSS_contig00138,16200,GBS_Metagenome,-563.74458,-49.332745,-239.84646
2058356989_GBSSS_contig00139,16157,GBS_Metagenome,-464.26387,-86.64719,-109.2504
2058357124_GBSSS_contig00140,16105,GBS_Metagenome,-217.36638,-9.926385,-85.2474
2058357394_GBSSS_contig00141,16057,GBS_Metagenome,340.66844,-48.132168,-94.64098
2058357529_GBSSS_contig00142,15926,GBS_Metagenome,157.64098,272.67653,26.754784
2058357799_GBSSS_contig00144,15864,GBS_Metagenome,-562.35865,-51.245901,-265.65112
2058357934_GBSSS_contig00145,15831,GBS_Metagenome,167.42026,217.3507,38.722523
2058358069_GBSSS_contig00146,15785,GBS_Metagenome,136.50861,243.1065,33.76513
2058358204_GBSSS_contig00147,15758,GBS_Metagenome,-327.54512,-62.168092,-180.2689
2058358339_GBSSS_contig00148,15745,GBS_Metagenome,-227.1437,13.023297,-79.5214
2058358474_GBSSS_contig00149,15732,GBS_Metagenome,134.4637,240.71257,46.91141
2058358879_GBSSS_contig00151,15725,GBS_Metagenome,397.7316,-61.7043,-115.34642
2058358609_GBSSS_contig00150,15718,GBS_Metagenome,-101.39619,-208.18917,145.33323
2058359014_GBSSS_contig00152,15705,GBS_Metagenome,151.4534,246.03747,64.232882
2058359149_GBSSS_contig00153,15660,GBS_Metagenome,168.25088,247.10238,29.097096
2058357664_GBSSS_contig00143,15641,GBS_Metagenome,-199.75704,-5.656483,-77.48895
2058359419_GBSSS_contig00155,15622,GBS_Metagenome,-198.57782,10.093545,-77.61432
2058359284_GBSSS_contig00154,15620,GBS_Metagenome,2.2679818,234.58974,103.47582
2058359554_GBSSS_contig00156,15589,GBS_Metagenome,188.09567,234.62649,42.197687
2058359689_GBSSS_contig00157,15568,GBS_Metagenome,-6.6472364,221.41021,79.56123
2058359824_GBSSS_contig00158,15562,GBS_Metagenome,159.92095,-119.56476,55.313874
2058360094_GBSSS_contig00160,15496,GBS_Metagenome,126.82138,253.45285,56.935585
2058360499_GBSSS_contig00162,15417,GBS_Metagenome,-76.11653,-209.61388,136.10975
2058360634_GBSSS_contig00163,15417,GBS_Metagenome,240.78537,-133.99631,50.073765
2058360769_GBSSS_contig00164,15390,GBS_Metagenome,386.98247,-53.783765,-117.78473
2058360904_GBSSS_contig00165,15380,GBS_Metagenome,-1.3416676,202.49026,87.3761
2058361039_GBSSS_contig00166,15376,GBS_Metagenome,149.81617,247.80665,47.4103
2058361174_GBSSS_contig00167,15363,GBS_Metagenome,-96.48842,-223.3595,156.65713
2058356449_GBSSS_contig00135,15330,GBS_Metagenome,408.85194,-73.21293,-126.03381
2058361309_GBSSS_contig00168,15291,GBS_Metagenome,128.79853,193.19188,36.142953
2058361444_GBSSS_contig00169,15275,GBS_Metagenome,-592.00589,-51.231187,-289.37391
2058361579_GBSSS_contig00170,15254,GBS_Metagenome,-518.01911,-48.712293,-223.21922
2058361849_GBSSS_contig00171,15229,GBS_Metagenome,-547.76834,-67.078704,-240.38315
2058362119_GBSSS_contig00173,15065,GBS_Metagenome,307.51833,-105.39445,63.683431
2058361984_GBSSS_contig00172,15057,GBS_Metagenome,-358.21499,-268.53743,145.27744
2058411696_GBSSS_contig00055,14998,GBS_Metagenome,-210.82894,-11.772453,-94.06054
2058362254_GBSSS_contig00174,14944,GBS_Metagenome,-569.32127,-43.296995,-266.07735
2058362389_GBSSS_contig00175,14885,GBS_Metagenome,130.0327,257.88658,41.715352
2058362524_GBSSS_contig00176,14850,GBS_Metagenome,-87.0163,-197.62449,124.66853
2058362659_GBSSS_contig00177,14846,GBS_Metagenome,448.24451,-80.47186,-147.826
2058362794_GBSSS_contig00178,14796,GBS_Metagenome,396.1034,-50.982659,-122.98706
2058362929_GBSSS_contig00179,14759,GBS_Metagenome,-145.9276,-227.57371,130.90217
2058363334_GBSSS_contig00181,14632,GBS_Metagenome,-39.473294,213.44757,75.13366
2058363064_GBSSS_contig00180,14598,GBS_Metagenome,412.40325,-66.42951,-127.71766
2058363604_GBSSS_contig00183,14493,GBS_Metagenome,-567.17094,-62.133232,-248.70818
2058355099_GBSSS_contig00126,14443,GBS_Metagenome,-75.82652,205.40954,79.71173
2058363469_GBSSS_contig00182,14438,GBS_Metagenome,143.39619,233.06374,37.958347
2058363739_GBSSS_contig00184,14423,GBS_Metagenome,404.07206,-49.500087,-110.31258
2058363874_GBSSS_contig00185,14412,GBS_Metagenome,109.34343,232.08073,32.351144
2058364009_GBSSS_contig00186,14406,GBS_Metagenome,-560.35455,-30.181151,-266.96789
2058364144_GBSSS_contig00187,14385,GBS_Metagenome,-151.8734,-40.572651,-18.819325
2058364279_GBSSS_contig00188,14370,GBS_Metagenome,400.22325,-63.492744,-131.52804
2058364549_GBSSS_contig00190,14285,GBS_Metagenome,145.35381,226.75758,52.391269
2058364819_GBSSS_contig00191,14265,GBS_Metagenome,136.64154,259.47509,47.322548
2058365089_GBSSS_contig00193,14180,GBS_Metagenome,-130.28288,-214.54881,122.20075
2058365224_GBSSS_contig00194,14157,GBS_Metagenome,-98.37562,-47.563439,40.796462
2058365494_GBSSS_contig00196,14144,GBS_Metagenome,113.40014,238.01498,48.926479
2058365899_GBSSS_contig00199,14098,GBS_Metagenome,-96.09173,-207.99254,134.21604
2058366034_GBSSS_contig00200,14062,GBS_Metagenome,-57.753052,-246.83834,168.20188
2058366439_GBSSS_contig00201,14041,GBS_Metagenome,-574.66234,-68.751011,-248.0261
2058366574_GBSSS_contig00202,13992,GBS_Metagenome,-107.84291,-217.43421,141.15766
2058366709_GBSSS_contig00203,13986,GBS_Metagenome,-50.358161,-250.60756,133.52241
2058379669_GBSSS_contig00030,13959,GBS_Metagenome,-59.158239,-210.84595,154.57288
2058366844_GBSSS_contig00204,13946,GBS_Metagenome,-553.24017,-33.473706,-214.74537
2058366979_GBSSS_contig00205,13890,GBS_Metagenome,-214.42694,-6.5767807,-64.492029
2058367114_GBSSS_contig00206,13880,GBS_Metagenome,135.18743,210.96334,27.872166
2058367249_GBSSS_contig00207,13878,GBS_Metagenome,153.92944,-102.78352,58.269295
2058367384_GBSSS_contig00208,13865,GBS_Metagenome,144.67656,266.84385,44.231544
2058365359_GBSSS_contig00195,13835,GBS_Metagenome,-200.473,-22.682758,-55.807311
2058367519_GBSSS_contig00209,13813,GBS_Metagenome,-96.26442,-229.09271,152.96477
2058367654_GBSSS_contig00210,13747,GBS_Metagenome,393.19742,-48.390594,-119.14833
2058367924_GBSSS_contig00211,13671,GBS_Metagenome,-577.68473,-41.261178,-284.16052
2058368059_GBSSS_contig00212,13663,GBS_Metagenome,93.95428,230.62774,38.405549
2058368194_GBSSS_contig00213,13634,GBS_Metagenome,285.81868,-46.740393,57.530186
2058368329_GBSSS_contig00214,13613,GBS_Metagenome,-205.95694,0.49387688,-75.34338
2058368464_GBSSS_contig00215,13547,GBS_Metagenome,154.66297,237.16749,29.848427
2058368734_GBSSS_contig00217,13544,GBS_Metagenome,-538.32555,-56.055937,-225.03236
2058368599_GBSSS_contig00216,13543,GBS_Metagenome,-3.0074681,213.01294,73.80604
2058368869_GBSSS_contig00218,13539,GBS_Metagenome,-52.942883,-210.09135,138.92487
2058369004_GBSSS_contig00219,13526,GBS_Metagenome,-37.493645,182.26061,88.66256
2058369409_GBSSS_contig00221,13508,GBS_Metagenome,106.08458,204.34897,29.204098
2058369139_GBSSS_contig00220,13505,GBS_Metagenome,135.47359,192.61956,36.900626
2058369679_GBSSS_contig00223,13459,GBS_Metagenome,158.2427,240.10693,38.447801
2058369544_GBSSS_contig00222,13452,GBS_Metagenome,11.433247,232.46293,108.41586
2058369949_GBSSS_contig00225,13443,GBS_Metagenome,167.45316,205.96408,34.82724
2058369814_GBSSS_contig00224,13414,GBS_Metagenome,122.58813,215.50424,26.599909
2058370219_GBSSS_contig00227,13359,GBS_Metagenome,155.50276,243.73328,36.924643
2058370354_GBSSS_contig00228,13352,GBS_Metagenome,243.79922,-28.671314,61.240984
2058370489_GBSSS_contig00229,13323,GBS_Metagenome,-612.83565,-58.7272,-289.02713
2058370624_GBSSS_contig00230,13239,GBS_Metagenome,-78.83253,-217.88774,183.42247
2058370894_GBSSS_contig00231,13228,GBS_Metagenome,-498.91548,64.857548,-263.1594
2058371029_GBSSS_contig00232,13225,GBS_Metagenome,-126.10927,-230.33731,146.51735
2058371164_GBSSS_contig00233,13211,GBS_Metagenome,-88.07463,-231.17388,132.36321
2058370084_GBSSS_contig00226,13204,GBS_Metagenome,427.8267,-60.867646,-144.09269
2058371299_GBSSS_contig00234,13201,GBS_Metagenome,-451.36273,37.471679,-191.08957
2058371569_GBSSS_contig00236,13169,GBS_Metagenome,-46.586904,198.52924,71.34043
2058371704_GBSSS_contig00237,13144,GBS_Metagenome,144.13483,225.69876,37.431646
2058364414_GBSSS_contig00189,13101,GBS_Metagenome,111.70663,-112.17976,63.4165
2058372109_GBSSS_contig00240,13073,GBS_Metagenome,415.45308,-70.27426,-142.19569
2058351994_GBSSS_contig00105,13052,GBS_Metagenome,155.02865,239.24894,19.72033
2058371974_GBSSS_contig00239,13047,GBS_Metagenome,-619.62047,-52.619749,-320.14241
2058415206_GBSSS_contig00079,13020,GBS_Metagenome,184.32211,-127.08878,23.911783
2058372379_GBSSS_contig00241,13015,GBS_Metagenome,11.409811,229.69688,96.50802
2058372514_GBSSS_contig00242,13015,GBS_Metagenome,-212.70634,11.62154,-84.31878
2058372649_GBSSS_contig00243,12972,GBS_Metagenome,-595.04956,-63.727454,-273.50715
2058372784_GBSSS_contig00244,12960,GBS_Metagenome,-17.079783,250.05141,84.61068
2058373189_GBSSS_contig00247,12953,GBS_Metagenome,-82.7631,-225.56828,158.01135
2058371839_GBSSS_contig00238,12937,GBS_Metagenome,-15.00709,217.57085,89.06128
2058373594_GBSSS_contig00250,12899,GBS_Metagenome,134.53895,214.97784,32.137462
2058373459_GBSSS_contig00249,12897,GBS_Metagenome,-38.029348,204.86431,94.49013
2058374134_GBSSS_contig00253,12855,GBS_Metagenome,160.56152,232.88279,32.889857
2058373999_GBSSS_contig00252,12851,GBS_Metagenome,-89.9878,-213.66268,113.08871
2058371434_GBSSS_contig00235,12845,GBS_Metagenome,126.64029,245.02079,54.415669
2058374269_GBSSS_contig00254,12845,GBS_Metagenome,423.67395,-55.463051,-143.56881
2058373864_GBSSS_contig00251,12839,GBS_Metagenome,214.71569,-25.737103,-77.51695
2058354019_GBSSS_contig00119,12824,GBS_Metagenome,-81.49365,-222.70129,135.31539
2058374674_GBSSS_contig00257,12758,GBS_Metagenome,-487.77064,-38.495002,-138.74203
2058374809_GBSSS_contig00258,12740,GBS_Metagenome,140.74466,230.77005,47.165272
2058374944_GBSSS_contig00259,12723,GBS_Metagenome,158.64702,247.17357,45.53626
2058375079_GBSSS_contig00260,12675,GBS_Metagenome,172.53208,253.6163,20.203652
2058373324_GBSSS_contig00248,12631,GBS_Metagenome,6.900425,232.06974,105.27559
2058375349_GBSSS_contig00261,12630,GBS_Metagenome,228.36905,-105.32284,40.988367
2058375619_GBSSS_contig00263,12601,GBS_Metagenome,382.45697,-54.208602,-117.65005
2058376024_GBSSS_contig00266,12550,GBS_Metagenome,160.43867,227.17478,52.459274
2058376159_GBSSS_contig00267,12549,GBS_Metagenome,177.46946,259.3717,27.193229
2058376429_GBSSS_contig00269,12537,GBS_Metagenome,275.12401,-62.995632,72.86069
2058376564_GBSSS_contig00270,12532,GBS_Metagenome,-530.56759,-67.980724,-219.22502
2058376294_GBSSS_contig00268,12531,GBS_Metagenome,7.410123,246.96322,100.22754
2058376969_GBSSS_contig00272,12527,GBS_Metagenome,-573.06564,-44.641506,-276.64518
2058376834_GBSSS_contig00271,12524,GBS_Metagenome,-79.06836,-236.47498,158.97784
2058377104_GBSSS_contig00273,12514,GBS_Metagenome,158.53362,267.32692,32.865798
2058377509_GBSSS_contig00276,12414,GBS_Metagenome,425.07549,-58.164519,-155.00261
2058377644_GBSSS_contig00277,12405,GBS_Metagenome,-108.03905,-233.8287,150.82788
2058377779_GBSSS_contig00278,12405,GBS_Metagenome,-235.93822,10.435999,-100.61366
2058377914_GBSSS_contig00279,12390,GBS_Metagenome,368.40972,-40.934831,-110.19218
2058378049_GBSSS_contig00280,12380,GBS_Metagenome,-423.71154,41.983613,-170.85957
2058378319_GBSSS_contig00281,12368,GBS_Metagenome,167.61066,239.04951,30.176797
2058378454_GBSSS_contig00282,12353,GBS_Metagenome,-222.56654,0.034163325,-76.90844
2058378589_GBSSS_contig00283,12330,GBS_Metagenome,-571.06273,-49.435015,-266.05362
2058378724_GBSSS_contig00284,12295,GBS_Metagenome,-352.82926,-261.97899,120.30249
2058378859_GBSSS_contig00285,12267,GBS_Metagenome,-573.21208,-54.294961,-267.6968
2058377239_GBSSS_contig00274,12252,GBS_Metagenome,16.413446,188.66876,125.55291
2058378994_GBSSS_contig00286,12235,GBS_Metagenome,156.73392,247.17028,23.853228
2058379129_GBSSS_contig00287,12220,GBS_Metagenome,172.14974,267.87845,19.435451
2058417636_GBSSS_contig00095,12146,GBS_Metagenome,79.17,-91.35105,80.69012
2058379399_GBSSS_contig00289,12085,GBS_Metagenome,-93.25659,-205.74484,144.65535
2058379534_GBSSS_contig00290,12079,GBS_Metagenome,-416.73499,-209.99517,81.58535
2058379939_GBSSS_contig00292,12065,GBS_Metagenome,-460.66881,60.648105,-235.48287
2058379804_GBSSS_contig00291,12044,GBS_Metagenome,18.194813,216.72882,84.17556
2058380074_GBSSS_contig00293,12013,GBS_Metagenome,-446.14878,46.622289,-196.37275
2058380209_GBSSS_contig00294,12005,GBS_Metagenome,497.23562,-79.29915,-183.638
2058380344_GBSSS_contig00295,11987,GBS_Metagenome,161.77105,245.23261,39.416671
2058380479_GBSSS_contig00296,11981,GBS_Metagenome,-354.07624,-247.36803,152.1072
2058380614_GBSSS_contig00297,11966,GBS_Metagenome,-405.8649,26.685743,-159.57536
2058380884_GBSSS_contig00299,11959,GBS_Metagenome,3.93708,231.21805,88.44696
2058380749_GBSSS_contig00298,11945,GBS_Metagenome,-552.0305,-67.086089,-257.64669
2058381019_GBSSS_contig00300,11935,GBS_Metagenome,-5.819835,208.74574,77.05894
2058381424_GBSSS_contig00301,11933,GBS_Metagenome,-271.50277,17.665893,-122.1689
2058381559_GBSSS_contig00302,11902,GBS_Metagenome,-7.815521,234.45135,83.50076
2058381694_GBSSS_contig00303,11892,GBS_Metagenome,85.82021,-96.28262,86.31973
2058381829_GBSSS_contig00304,11892,GBS_Metagenome,134.10985,235.91253,41.601756
2058382099_GBSSS_contig00306,11864,GBS_Metagenome,-479.98916,62.177801,-216.31897
2058382234_GBSSS_contig00307,11851,GBS_Metagenome,135.95064,236.65355,31.789604
2058382369_GBSSS_contig00308,11825,GBS_Metagenome,132.8047,-14.268198,-42.347662
2058382504_GBSSS_contig00309,11818,GBS_Metagenome,382.97063,-48.025446,-105.70693
2058382639_GBSSS_contig00310,11811,GBS_Metagenome,414.37445,-69.583199,-130.37045
2058382909_GBSSS_contig00311,11788,GBS_Metagenome,-102.15149,-224.90923,135.72839
2058383314_GBSSS_contig00314,11780,GBS_Metagenome,121.86846,225.50696,45.54935
2058383044_GBSSS_contig00312,11761,GBS_Metagenome,116.8853,246.14898,44.990316
2058383449_GBSSS_contig00315,11686,GBS_Metagenome,4.4790501,205.1231,101.61928
2058383854_GBSSS_contig00318,11659,GBS_Metagenome,15.157737,244.17841,93.60757
2058383719_GBSSS_contig00317,11641,GBS_Metagenome,-68.082385,-232.19588,138.71158
2058383989_GBSSS_contig00319,11625,GBS_Metagenome,-22.592213,236.93397,86.884
2058384124_GBSSS_contig00320,11591,GBS_Metagenome,-598.68305,-23.273908,-303.75366
2058384394_GBSSS_contig00321,11564,GBS_Metagenome,-591.23771,-50.459514,-276.35678
2058384664_GBSSS_contig00323,11562,GBS_Metagenome,406.37779,-56.299194,-124.24377
2058383584_GBSSS_contig00316,11556,GBS_Metagenome,435.1214,-62.008408,-140.19593
2058384529_GBSSS_contig00322,11553,GBS_Metagenome,-465.86617,30.176279,-205.63025
